ds_id,ds_nm,ds_owner,code_ref,to_file,from_file,flag_delete
00001,TMP,ANZ,,['/proj/sas/saswork/RRMBatch/SAS_workCA8601F501AE_aup4064l/#LN00012'],[],0
00002,RDRPARAM.D_RADAR_LIBRARY_ASSIGN,ANZ,,['/proj/sas/saswork/RRMBatch/SAS_workCA8601F501AE_aup4064l/#LN00012'],[],0
00003,CNT,ANZ,,[],[],0
00004,WORK.RSK_RSO_AU_LIBRARY_ASSIGN,ANZ,,[],[],1
00005,RADARPRD.T_SME_OBS_ILS,ANZ,,[],[],0
00006,RADAR.T_SME_OBS_ILS,ANZ,,[],[],0
00007,RADAR.RADAR_ILS_ACCOUNT_STOCK,ANZ,,[],[],0
00008,RADAR.RADAR_ILS_ACCT_CUSTOMER_LINK,ANZ,,[],[],0
00009,RADAR.RADAR_ILS_ACCT_CUST_GRP_LINK,ANZ,,[],[],0
00010,RADARPRD.T_SME_OBS_DDA,ANZ,,[],[],0
00011,RADAR.T_SME_OBS_DDA,ANZ,,[],[],0
00012,RADAR.RADAR_DDA_ACCOUNT_STOCK,ANZ,,[],[],0
00013,RADAR.RADAR_DDA_ACCT_CUSTOMER_LINK,ANZ,,[],[],0
00014,RADAR.RADAR_DDA_ACCT_CUST_GRP_LINK,ANZ,,[],[],0
00015,RADARPRD.T_SME_OBS_CCA,ANZ,,[],[],0
00016,RADAR.T_SME_OBS_CCA,ANZ,,[],[],0
00017,RADAR.RADAR_CCA_ACCOUNT_STOCK,ANZ,,[],[],0
00018,RADAR.D_RADAR_CCA_ACCT_CUSTOMER_LINK,ANZ,,[],[],0
00019,RADAR.D_RADAR_CCA_ACCT_CUST_GRP_LINK,ANZ,,[],[],0
00020,RADARPRD.T_SME_OBS_OLL_CNRCT,ANZ,,[],[],0
00021,RADAR.T_SME_OBS_OLL_CNRCT,ANZ,,[],[],0
00022,RADAR.RADAR_IG_CONTRACT_STOCK,ANZ,,[],[],0
00023,RADAR.RADAR_MERCHNT_CONTRACT_STOCK,ANZ,,[],[],0
