rel_id,rel_nm
00001,transform
00002,
00003,row-filter | row append | left join
00004,row-filter | transform | union all | row append
00005,row-filter | transform | row append | left join
00006,transform | row append | left join
00007,row-filter | rename | transform | row append | left join
00008,rename | transform | union all | row append
00009,rename | transform | row append | left join
00010,row-append
00011,row-filter | rename | transform | self-transform
00012,row-filter
00013,row-filter | rename | transform | self-transform | hash table
00014,row-filter | transform
00015,row-filter | self-transform | union all
00016,row-filter | transform | self-transform
00017,rename | transform | left join
