ds_id_src,ds_nm_src,var_id_src,var_nm_src,ds_id_dst,ds_nm_dst,join_type_id,join_type,join_str
00007,RADAR.RADAR_ILS_ACCOUNT_STOCK,,,00006,RADAR.T_SME_OBS_ILS,00001,row append,insert into RADAR.T_SME_OBS_ILS
00008,RADAR.RADAR_ILS_ACCT_CUSTOMER_LINK,,,00006,RADAR.T_SME_OBS_ILS,00001,row append,insert into RADAR.T_SME_OBS_ILS
00009,RADAR.RADAR_ILS_ACCT_CUST_GRP_LINK,,,00006,RADAR.T_SME_OBS_ILS,00001,row append,insert into RADAR.T_SME_OBS_ILS
00007,RADAR.RADAR_ILS_ACCOUNT_STOCK,00110,"('N_ACCT',)",00008,RADAR.RADAR_ILS_ACCT_CUSTOMER_LINK,00002,left join,RADAR.RADAR_ILS_ACCOUNT_STOCK D_RADAR_ILS_ACCOUNT_STOCK left join RADAR.RADAR_ILS_ACCT_CUSTOMER_LINK D_RADAR_ILS_ACCT_CUSTOMER_LINK on ( D_RADAR_ILS_ACCOUNT_STOCK.N_ACCT = D_RADAR_ILS_ACCT_CUSTOMER_LINK.N_ACCT and D_RADAR_ILS_ACCT_CUSTOMER_LINK.D_MTH = '01-OCT-2019' )
00007,RADAR.RADAR_ILS_ACCOUNT_STOCK,00110,"('N_ACCT',)",00009,RADAR.RADAR_ILS_ACCT_CUST_GRP_LINK,00002,left join,RADAR.RADAR_ILS_ACCOUNT_STOCK D_RADAR_ILS_ACCOUNT_STOCK left join RADAR.RADAR_ILS_ACCT_CUST_GRP_LINK D_RADAR_ILS_ACCT_CUST_GRP_LINK on ( D_RADAR_ILS_ACCOUNT_STOCK.N_ACCT = D_RADAR_ILS_ACCT_CUST_GRP_LINK.N_ACCT and D_RADAR_ILS_ACCT_CUST_GRP_LINK.D_MTH = '01-OCT-2019' )
00012,RADAR.RADAR_DDA_ACCOUNT_STOCK,,,00011,RADAR.T_SME_OBS_DDA,00001,row append,insert into RADAR.T_SME_OBS_DDA
00013,RADAR.RADAR_DDA_ACCT_CUSTOMER_LINK,,,00011,RADAR.T_SME_OBS_DDA,00001,row append,insert into RADAR.T_SME_OBS_DDA
00014,RADAR.RADAR_DDA_ACCT_CUST_GRP_LINK,,,00011,RADAR.T_SME_OBS_DDA,00001,row append,insert into RADAR.T_SME_OBS_DDA
00012,RADAR.RADAR_DDA_ACCOUNT_STOCK,00272,"('N_ACCT',)",00013,RADAR.RADAR_DDA_ACCT_CUSTOMER_LINK,00002,left join,RADAR.RADAR_DDA_ACCOUNT_STOCK D_RADAR_DDA_ACCOUNT_STOCK left join RADAR.RADAR_DDA_ACCT_CUSTOMER_LINK D_RADAR_DDA_ACCT_CUSTOMER_LINK on ( D_RADAR_DDA_ACCOUNT_STOCK.N_ACCT = D_RADAR_DDA_ACCT_CUSTOMER_LINK.N_ACCT and D_RADAR_DDA_ACCT_CUSTOMER_LINK.D_MTH = '01-OCT-2019' )
00012,RADAR.RADAR_DDA_ACCOUNT_STOCK,00272,"('N_ACCT',)",00014,RADAR.RADAR_DDA_ACCT_CUST_GRP_LINK,00002,left join,RADAR.RADAR_DDA_ACCOUNT_STOCK D_RADAR_DDA_ACCOUNT_STOCK left join RADAR.RADAR_DDA_ACCT_CUST_GRP_LINK D_RADAR_DDA_ACCT_CUST_GRP_LINK on ( D_RADAR_DDA_ACCOUNT_STOCK.N_ACCT = D_RADAR_DDA_ACCT_CUST_GRP_LINK.N_ACCT and D_RADAR_DDA_ACCT_CUST_GRP_LINK.D_MTH = '01-OCT-2019' )
